date,open,high,low,close
08/03/2017,1577.7,1567.5,1584.5,1580.6
09/03/2017,1576.6,1553.9,1583.9,1570.8
10/03/2017,1566,1561.6,1614.7,1595.1
13/03/2017,1594.1,1589,1659.1,1657.1
14/03/2017,1661.1,1659.1,1696.9,1694
15/03/2017,1692,1676,1706,1682
16/03/2017,1680.1,1648.1,1693.6,1651.1
17/03/2017,1650.3,1632.3,1657.3,1634.3
20/03/2017,1641.8,1626.6,1726.9,1723.9
21/03/2017,1739.6,1707.9,1758.4,1730.1
22/03/2017,1741.2,1708.2,1750,1744
23/03/2017,1744.6,1727.1,1753.3,1748.2
24/03/2017,1744.8,1710.7,1747.5,1715.8
27/03/2017,1714.4,1696.5,1738.1,1717.3
28/03/2017,1724.2,1699.6,1728.3,1708.7
29/03/2017,1703.6,1676.8,1708.5,1687
30/03/2017,1686,1661,1695.6,1685.2
31/03/2017,1682.4,1668.7,1689.3,1676.9
03/04/2017,1676.2,1652.1,1693.1,1690
04/04/2017,1688.6,1675.3,1703.8,1695.3
05/04/2017,1690.7,1679.6,1700.7,1691.9
06/04/2017,1691.2,1671.9,1694.3,1672.4
07/04/2017,1665,1606.1,1665.5,1618.8
10/04/2017,1618,1579.4,1618,1581.9
11/04/2017,1574.9,1560.5,1600.7,1595.8
12/04/2017,1589.9,1559.6,1590.4,1572.8
13/04/2017,1562.3,1525.8,1569,1531.3
18/04/2017,1527.5,1482,1547.1,1510.1
19/04/2017,1500.8,1456,1507.5,1463
20/04/2017,1436.7,1353.8,1448.2,1398.1
21/04/2017,1398.3,1383.1,1444.8,1439.2
24/04/2017,1422.2,1401,1454.7,1410.2
25/04/2017,1409.2,1394.6,1441.7,1441.7
26/04/2017,1438.7,1425.1,1480.1,1462.8
27/04/2017,1455.6,1433,1460.8,1450.6
28/04/2017,1447.3,1400.8,1459.5,1420.4
02/05/2017,1414.8,1403.6,1437.8,1406.7
03/05/2017,1403.3,1375,1403.3,1383.1
04/05/2017,1385.4,1379.4,1435.9,1435.1
05/05/2017,1427.4,1402.5,1462.4,1454
08/05/2017,1468.8,1461.8,1533.2,1524.7
09/05/2017,1526.1,1506.1,1538.1,1524.9
10/05/2017,1526.3,1510.8,1535.3,1525.5
11/05/2017,1527.8,1518,1536.9,1526.1
12/05/2017,1528.5,1518.5,1574.9,1565.8
15/05/2017,1613.1,1580.2,1636.1,1588.2
16/05/2017,1590.3,1539.4,1605.4,1574.5
17/05/2017,1578.7,1553.8,1589.7,1589.7
18/05/2017,1582.9,1576.4,1606.7,1603.8
19/05/2017,1602,1559.3,1604.6,1562.3
22/05/2017,1564.9,1549.1,1582.8,1566.1
23/05/2017,1559.3,1552.2,1582.1,1555.2
24/05/2017,1543.4,1457.9,1545.6,1464.8
25/05/2017,1464.9,1444.1,1491.3,1454.1
26/05/2017,1468.6,1458.4,1498.2,1497.2
30/05/2017,1500.2,1483.2,1585.7,1585.7
31/05/2017,1584.7,1574.5,1616.6,1584.3
01/06/2017,1578.5,1530.7,1585.2,1573.6
02/06/2017,1575.4,1554.8,1581.8,1559.3
05/06/2017,1557.9,1505.4,1563.9,1544.4
06/06/2017,1555.1,1532.2,1555.7,1544.5
07/06/2017,1536.9,1526.5,1554.5,1534.9
08/06/2017,1535.7,1523.1,1603.7,1540.2
09/06/2017,1568,1543,1607.7,1607.7
12/06/2017,1613.7,1612.3,1661.4,1661.4
13/06/2017,1658.7,1622.7,1673,1622.7
14/06/2017,1623.8,1609.8,1634.5,1630.9
15/06/2017,1641.4,1629.2,1653.1,1632
16/06/2017,1628.1,1594.2,1646.2,1608
19/06/2017,1610,1545.9,1626.2,1550.8
20/06/2017,1551.5,1540.3,1568.8,1555.3
21/06/2017,1551.8,1506.2,1560.6,1508.9
22/06/2017,1506.1,1463.4,1508.6,1484.4
23/06/2017,1473.3,1470,1523.4,1516.5
26/06/2017,1509.4,1473.9,1524.9,1486.9
27/06/2017,1485.4,1478.8,1525.1,1493.5
28/06/2017,1496,1484.4,1513.6,1496.8
29/06/2017,1490.7,1471.7,1501.3,1472.5
30/06/2017,1466.9,1463.7,1541.4,1527.1
03/07/2017,1530.8,1527.8,1570.8,1536
04/07/2017,1539.9,1509.9,1548.8,1530.5
05/07/2017,1532.4,1514.8,1540.6,1532.1
06/07/2017,1530.9,1488.3,1535.4,1511.8
07/07/2017,1514.3,1481.2,1514.3,1484.2
10/07/2017,1489.3,1443.6,1510.2,1460.6
11/07/2017,1465.7,1422.6,1470.2,1448.7
12/07/2017,1446.8,1432.8,1454.9,1453
13/07/2017,1446,1442,1500,1491
14/07/2017,1495.1,1484.2,1513.3,1504.3
17/07/2017,1505.2,1487.9,1513.2,1506.4
18/07/2017,1508.7,1505.8,1533.6,1512.6
19/07/2017,1503.9,1501.9,1538.8,1533.7
20/07/2017,1538.4,1535.4,1559.3,1546.7
21/07/2017,1542,1537.4,1568.7,1559.6
24/07/2017,1553.2,1543.8,1569.2,1556.6
25/07/2017,1556.2,1516.2,1558.9,1522.2
26/07/2017,1521.3,1504.6,1529.6,1506.6
27/07/2017,1506.9,1504.5,1570.4,1569.3
28/07/2017,1565.4,1559.9,1599.4,1596.6
31/07/2017,1598.1,1584.2,1607.9,1593.4
01/08/2017,1595.1,1558.7,1609.6,1562.4
02/08/2017,1550.7,1541,1584.1,1583.1
03/08/2017,1588.4,1582.3,1605.1,1596.8
04/08/2017,1597,1557.4,1615.7,1573.7
07/08/2017,1572.3,1566.8,1595.8,1585.8
08/08/2017,1581.9,1578,1609.9,1578.6
09/08/2017,1572.2,1544.1,1575.6,1557.8
10/08/2017,1565,1533,1574.7,1539.5
11/08/2017,1538.4,1524.9,1556.6,1546.8
14/08/2017,1534.1,1496,1539.6,1503.2
15/08/2017,1502.4,1467.4,1502.7,1473.2
16/08/2017,1471.4,1448.5,1483.1,1456.5
17/08/2017,1462,1451.2,1487.5,1475.4
18/08/2017,1481.5,1472.5,1504.7,1489.6
21/08/2017,1491,1463.7,1497.5,1489.1
22/08/2017,1485.6,1476.3,1504.7,1488.4
23/08/2017,1477.1,1469.8,1490.5,1480.8
24/08/2017,1477.2,1473.2,1503.4,1501.1
25/08/2017,1506.3,1506.3,1527.3,1520
29/08/2017,1561.7,1527.9,1567.6,1534.4
30/08/2017,1530.7,1489.5,1541.6,1510.5
31/08/2017,1522.1,1493.5,1529.3,1516.9
01/09/2017,1509.8,1507.4,1534,1520.9
04/09/2017,1519.8,1509.3,1528.8,1515.8
05/09/2017,1518.1,1510.6,1544.1,1514.6
06/09/2017,1515.9,1469.2,1520.7,1483.9
07/09/2017,1486.6,1460,1487.6,1466.9
08/09/2017,1464.4,1451.3,1474.7,1472.5
11/09/2017,1480.5,1457.2,1484.5,1473.2
12/09/2017,1473.7,1457.9,1478.9,1474.1
13/09/2017,1475.6,1473.6,1507.8,1506.8
14/09/2017,1508.1,1480.7,1516.1,1482.2
15/09/2017,1470.3,1459.4,1487.4,1481.4
18/09/2017,1481.1,1472.1,1496.1,1472.2
19/09/2017,1474.4,1460.4,1486.4,1467.5
20/09/2017,1467.2,1462.7,1483,1477.6
21/09/2017,1482.8,1478.9,1502.8,1489.8
22/09/2017,1497.9,1468.1,1507.9,1472
25/09/2017,1470.6,1462.7,1493.6,1472.6
26/09/2017,1473.9,1466.9,1482.8,1473.9
27/09/2017,1476.1,1472,1499.9,1499.1
28/09/2017,1498.3,1476.3,1510.2,1478.5
29/09/2017,1484.5,1476.6,1519.5,1517.1
02/10/2017,1521.9,1499.2,1532,1530.9
03/10/2017,1530.1,1522,1557.7,1556
04/10/2017,1552.9,1551.3,1573,1559.1
05/10/2017,1564.2,1558.9,1582.6,1581.6
06/10/2017,1581.8,1574.8,1597,1596
09/10/2017,1591.6,1535.5,1601.6,1536.6
10/10/2017,1538,1538,1567.7,1550.2
11/10/2017,1553.2,1553.2,1589.8,1588.8
12/10/2017,1598.7,1577.4,1607.1,1584.6
13/10/2017,1586.4,1558.6,1588.6,1571.7
16/10/2017,1574.4,1542,1575.6,1545.2
17/10/2017,1545,1542.9,1565.7,1563.7
18/10/2017,1569.9,1558.9,1577.5,1567.4
19/10/2017,1570.1,1561.2,1605,1603.4
20/10/2017,1612.6,1598.1,1620.8,1599.9
23/10/2017,1602,1577.4,1603.5,1589.4
24/10/2017,1593,1566.8,1595.3,1573
25/10/2017,1575.3,1551.6,1575.3,1559.9
26/10/2017,1563.6,1563.4,1588.4,1588.4
27/10/2017,1594.4,1571.2,1598.1,1584.2
30/10/2017,1587.6,1561.9,1587.9,1581.9
31/10/2017,1582.1,1562.9,1582.1,1564.9
01/11/2017,1563.6,1552.9,1586.1,1584.7
02/11/2017,1581.6,1555.6,1592.3,1560.4
03/11/2017,1561.8,1548.8,1572.3,1569.5
06/11/2017,1562.8,1558.2,1596.1,1595.4
07/11/2017,1596.9,1587.9,1607.4,1606.7
08/11/2017,1610.8,1610.2,1648.3,1640.7
09/11/2017,1645.6,1636.4,1651.9,1642.4
10/11/2017,1645.9,1640.3,1666,1655.3
13/11/2017,1661.3,1643.3,1664.3,1655.4
14/11/2017,1655.6,1621.4,1655.7,1622.7
15/11/2017,1623.9,1586,1624.9,1603.2
16/11/2017,1604.2,1600.7,1612.9,1606.9
17/11/2017,1607.4,1586.8,1609.8,1594.2
20/11/2017,1588.2,1558.7,1588.2,1566.8
21/11/2017,1570.4,1559.9,1576.8,1571.1
22/11/2017,1574.5,1571.9,1583,1581.6
23/11/2017,1577.8,1564.7,1578.9,1569.6
24/11/2017,1569.5,1539.3,1570.9,1559.4
27/11/2017,1559.6,1529.1,1564.9,1534.9
28/11/2017,1533.4,1511.8,1535.4,1519
29/11/2017,1504.5,1496.1,1533.9,1528.2
30/11/2017,1530.4,1472.6,1531.4,1486
01/12/2017,1484.3,1465.6,1487.3,1482.5
04/12/2017,1484.1,1451.7,1485.6,1458.2
05/12/2017,1457.6,1402.3,1463.6,1418.8
06/12/2017,1425.3,1399.8,1436.2,1403.7
07/12/2017,1406.7,1381.9,1424.8,1382.9
08/12/2017,1383.4,1373.3,1418.4,1406.3
